"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","227","27","","0"
"0","","0","User Login","2","0","","0"
"0","","0","Shopping Cart Operations","3","0","","0"
"0","","0","Todo List Management","3","0","","0"
"0","","0","Navigation Bar","2","0","","0"
"0","","0","Checkout Process","2","0","","0"
"0","","0","Language Switching (Internationalization)","2","0","","0"
"0","","0","Product Search, Filter, and Sort","4","0","","0"
"0","","0","Product Browsing and Purchase Workflow","1","0","","0"
"0","","0","Category Tab Navigation","3","0","","0"
"0","","0","Accessibility (a11y) Testing","2","0","","0"
