"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","FIXED: escapeHTML handles null and undefined","WSTG-INPV-01: Stored XSS Testing","Sat Mar 07 02:51:26 UTC 2026","passed","Sat Mar 07 02:51:26 UTC 2026","","XSS Mitigation - escapeHTML Function","",""
"","","VULNERABILITY: Weak password accepted","WSTG-ATHN-01: Authentication Credentials Testing","Sat Mar 07 02:51:27 UTC 2026","skipped","","","Password Complexity","",""
"","5","should have translation for product: ワイヤレスイヤホン","i18n translation data","Sat Mar 07 02:51:27 UTC 2026","passed","Sat Mar 07 02:51:27 UTC 2026","","product names translation","",""
"","2","should have search_placeholder key in both languages","i18n translation data","Sat Mar 07 02:51:27 UTC 2026","passed","Sat Mar 07 02:51:27 UTC 2026","","required keys existence","",""
"","4","should have consistent message types","i18n translation data","Sat Mar 07 02:51:27 UTC 2026","passed","Sat Mar 07 02:51:27 UTC 2026","","message consistency","",""
"","8","should sort filtered category by name","Category Tab","Sat Mar 07 02:51:27 UTC 2026","passed","Sat Mar 07 02:51:27 UTC 2026","","category with sort combination","",""
"","16","should login with correct credentials (demo)","AppState","Sat Mar 07 02:51:26 UTC 2026","passed","Sat Mar 07 02:51:26 UTC 2026","","authentication","",""
"","10","Document: Try-catch wrapper pattern","WSTG-CONF-02: Error Handling Testing","Sat Mar 07 02:51:27 UTC 2026","passed","Sat Mar 07 02:51:27 UTC 2026","","Exception Handling Patterns","",""
"","8","should preserve existing orders when creating new order","AppState","Sat Mar 07 02:51:27 UTC 2026","passed","Sat Mar 07 02:51:27 UTC 2026","","order management","",""
"","7","VULNERABLE: User profile displayName accepts HTML","WSTG-INPV-01: Stored XSS Testing","Sat Mar 07 02:51:26 UTC 2026","passed","Sat Mar 07 02:51:26 UTC 2026","","User Profile - XSS Vectors","",""
"","3","should handle empty products gracefully","Recommended Products","Sat Mar 07 02:51:27 UTC 2026","passed","Sat Mar 07 02:51:27 UTC 2026","","getRecommendedProducts","",""
"","11","Large data can be stored (potential DoS vector)","WSTG-CLNT-01: localStorage Security Testing","Sat Mar 07 02:51:27 UTC 2026","passed","Sat Mar 07 02:51:27 UTC 2026","","Storage Quota and DoS","",""
"","4","should have all required category options","i18n translation data","Sat Mar 07 02:51:27 UTC 2026","passed","Sat Mar 07 02:51:27 UTC 2026","","category and sorting options","",""
"","","VULNERABILITY: Order history with PII can be stored","WSTG-CLNT-01: localStorage Security Testing","Sat Mar 07 02:51:27 UTC 2026","skipped","","","Sensitive Data Exposure","",""
"","12","Event handler payload should not execute: <video><source onerror=""alert(1)"">","WSTG-INPV-02: DOM-based XSS Testing","Sat Mar 07 02:51:27 UTC 2026","passed","Sat Mar 07 02:51:27 UTC 2026","","Event Handler Injection","",""
"","14","Security Recommendation: textContent should be used instead of innerHTML","WSTG-INPV-01: Stored XSS Testing","Sat Mar 07 02:51:26 UTC 2026","passed","Sat Mar 07 02:51:26 UTC 2026","","Todo/Memo Input - XSS Vectors","",""
"","11","Add to cart buttons could be clickjacked","WSTG-CLNT-02: Clickjacking Testing","Sat Mar 07 02:51:27 UTC 2026","passed","Sat Mar 07 02:51:27 UTC 2026","","Sensitive Actions Vulnerable to Clickjacking","",""
