"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","should set category using setCategory method","Category Tab","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","currentCategory state","",""
"","7","currentUser storage does not contain password","WSTG-ATHN-02: Password Storage Testing","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","Password in localStorage","",""
"","16","Example: Session with expiration","WSTG-SESS-01: Session Management Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","Remediation Recommendations","",""
"","16","FIXED: escapeHTML properly escapes script tags","WSTG-INPV-01: Stored XSS Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","XSS Mitigation - escapeHTML Function","",""
"","6","should have translation for product: ノートパソコン","i18n translation data","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","product names translation","",""
"","9","Check for verbose console logging","WSTG-CONF-02: Error Handling Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","Debug Mode Detection","",""
"","20","should sort products by price (high to low)","AppState","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","product filtering","",""
"","6","should return translation for current language","UIManager","Sat Dec 20 01:41:56 UTC 2025","passed","Sat Dec 20 01:41:56 UTC 2025","","translation helper","",""
"","20","should sort products by price (low to high)","AppState","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","product filtering","",""
"","23","should return key if translation not found","UIManager","Sat Dec 20 01:41:56 UTC 2025","passed","Sat Dec 20 01:41:56 UTC 2025","","translation helper","",""
"","5","should allow setting back to all categories","Category Tab","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","currentCategory state","",""
"","","VULNERABILITY: No session token - relies on localStorage flag","WSTG-ATHN-02: Password Storage Testing","Sat Dec 20 01:41:58 UTC 2025","skipped","","","Session Token Security","",""
"","","VULNERABILITY: All data stored in localStorage persists indefinitely","WSTG-CLNT-01: localStorage Security Testing","Sat Dec 20 01:41:57 UTC 2025","skipped","","","Data Persistence Risks","",""
"","7","should have footer_text key in both languages","i18n translation data","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","required keys existence","",""
"","9","should remove existing message before showing new one","UIManager","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","message display","",""
"","15","Add to cart buttons could be clickjacked","WSTG-CLNT-02: Clickjacking Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","Sensitive Actions Vulnerable to Clickjacking","",""
"","5","should have memo_deleted key in both languages","i18n translation data","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","required keys existence","",""
"","4","Document: Recommended Content-Security-Policy","WSTG-CONF-01: CDN Integrity Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","CSP Headers Recommendation","",""
"","36","Event handler payload should not execute: <input onfocus=""alert(1)"" autofocus>","WSTG-INPV-02: DOM-based XSS Testing","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","Event Handler Injection","",""
"","32","Empty cart can be verified","WSTG-BUSL-02: Checkout Bypass Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","Empty Cart Checkout","",""
"","","VULNERABILITY: No session token - uses localStorage JSON object only","WSTG-SESS-01: Session Management Testing","Sat Dec 20 01:41:57 UTC 2025","skipped","","","Session Token Analysis","",""
"","17","Corrupted localStorage handling","WSTG-CONF-02: Error Handling Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","localStorage Error Handling","",""
"","6","should have memo_added key in both languages","i18n translation data","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","required keys existence","",""
"","13","should remove product from cart","AppState","Sat Dec 20 01:41:56 UTC 2025","passed","Sat Dec 20 01:41:56 UTC 2025","","cart management","",""
"","24","should show all products when category is empty","Category Tab","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","category filtering","",""
"","5","should have login_required key in both languages","i18n translation data","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","required keys existence","",""
"","7","GOOD: Source code should not contain sensitive comments","WSTG-CONF-02: Error Handling Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","Information Disclosure","",""
"As a user browsing the product catalog
  I want to search, filter, and sort products
  So that I can find items quickly and efficiently","3634","Search for a product by English name","","Sat Dec 20 01:44:11 UTC 2025","passed","Sat Dec 20 01:44:15 UTC 2025","","","",""
"","7","should save all data to storage","AppState","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","language management","",""
"","4","should have checkout_success key in both languages","i18n translation data","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","required keys existence","",""
"As a user visiting the ShopTodo application
  I want to see recommended products from each category
  So that I can quickly discover popular items","835","Recommended section displays 4 products","","Sat Dec 20 01:44:06 UTC 2025","passed","Sat Dec 20 01:44:07 UTC 2025","","","",""
"","10","VULNERABLE: innerHTML renders todo text without sanitization","WSTG-INPV-01: Stored XSS Testing","Sat Dec 20 01:41:56 UTC 2025","passed","Sat Dec 20 01:41:56 UTC 2025","","Todo/Memo Input - XSS Vectors","",""
"","17","Example: Detecting if page is framed","WSTG-CLNT-02: Clickjacking Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","Remediation Patterns","",""
"","13","Session can be hijacked by modifying localStorage","WSTG-ATHN-02: Password Storage Testing","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","Session Token Security","",""
"","5","Example: Logout with full cleanup","WSTG-SESS-01: Session Management Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","Remediation Recommendations","",""
"","","VULNERABILITY: Session can be created without authentication","WSTG-SESS-01: Session Management Testing","Sat Dec 20 01:41:57 UTC 2025","skipped","","","Session Token Analysis","",""
"As a logged-in user
  I want to manage items in my shopping cart
  So that I can prepare for checkout","4025","Remove item from cart","","Sat Dec 20 01:43:08 UTC 2025","passed","Sat Dec 20 01:43:12 UTC 2025","","","",""
"","4","Invalid username is rejected","WSTG-ATHN-01: Authentication Credentials Testing","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","Credential Validation","",""
"","4","should have add key in both languages","i18n translation data","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","required keys existence","",""
"","10","Event handler payload should not execute: <video><source onerror=""alert(1)"">","WSTG-INPV-02: DOM-based XSS Testing","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","Event Handler Injection","",""
"","4","SQL injection in credentials does not cause errors","WSTG-ATHN-01: Authentication Credentials Testing","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","Credential Validation","",""
"","8","should have product_names object in both languages","i18n translation data","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","structure validation","",""
"","7","Example: Secure session token generation","WSTG-SESS-01: Session Management Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","Remediation Recommendations","",""
"","13","should update cart quantity","AppState","Sat Dec 20 01:41:56 UTC 2025","passed","Sat Dec 20 01:41:56 UTC 2025","","cart management","",""
"","7","should have same keys in both languages (excluding product_names)","i18n translation data","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","key consistency","",""
"","8","localStorage is accessible via JavaScript","WSTG-ATHN-02: Password Storage Testing","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","Sensitive Data in localStorage","",""
"As a multilingual user
  I want to switch between English and Japanese
  So that I can use the application in my preferred language","3164","Switch language to Japanese","","Sat Dec 20 01:43:41 UTC 2025","passed","Sat Dec 20 01:43:44 UTC 2025","","","",""
"","","VULNERABILITY: Orders can be created with empty shipping info","WSTG-BUSL-02: Checkout Bypass Testing","Sat Dec 20 01:41:57 UTC 2025","skipped","","","Shipping Validation Bypass","",""
"","7","should have translation for product: スマートフォン","i18n translation data","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","product names translation","",""
"","16","should update active language button","UIManager","Sat Dec 20 01:41:56 UTC 2025","passed","Sat Dec 20 01:41:56 UTC 2025","","language switching","",""
"As a logged-in user
  I want to complete the checkout process
  So that I can place an order and view my order history","8478","View order history after placing order","","Sat Dec 20 01:43:32 UTC 2025","passed","Sat Dec 20 01:43:41 UTC 2025","","","",""
"","23","Checkout button could be clickjacked","WSTG-CLNT-02: Clickjacking Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","Sensitive Actions Vulnerable to Clickjacking","",""
"","13","should login with correct credentials","AppState","Sat Dec 20 01:41:56 UTC 2025","passed","Sat Dec 20 01:41:56 UTC 2025","","authentication","",""
"","","VULNERABILITY: Weak password accepted","WSTG-ATHN-01: Authentication Credentials Testing","Sat Dec 20 01:41:58 UTC 2025","skipped","","","Password Complexity","",""
"","14","URL parameters are not directly rendered without sanitization","WSTG-INPV-02: DOM-based XSS Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","Location Sources Analysis","",""
"","","VULNERABILITY: No session timeout implemented","WSTG-SESS-01: Session Management Testing","Sat Dec 20 01:41:57 UTC 2025","skipped","","","Session Timeout","",""
"","10","should have English translations for all Japanese product names","i18n translation data","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","product names translation","",""
"","9","GOOD: document.write is not used in application","WSTG-INPV-02: DOM-based XSS Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","document.write Sink Analysis","",""
"","16","should return original name when language is Japanese","UIManager","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","product name translation","",""
"","9","should logout and clear data","AppState","Sat Dec 20 01:41:56 UTC 2025","passed","Sat Dec 20 01:41:56 UTC 2025","","authentication","",""
"As a logged-in user
  I want to manage my todo items
  So that I can keep track of my shopping tasks and notes","4582","Delete a todo item","","Sat Dec 20 01:44:30 UTC 2025","passed","Sat Dec 20 01:44:34 UTC 2025","","","",""
"","10","Check for debug flags in source code","WSTG-CONF-02: Error Handling Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","Debug Mode Detection","",""
"","5","should sort filtered category by price low to high","Category Tab","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","category with sort combination","",""
"","3","should have translation for product: キッチン用品セット","i18n translation data","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","product names translation","",""
"","9","GOOD: eval is not used in application","WSTG-INPV-02: DOM-based XSS Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","eval Sink Analysis","",""
"As a user browsing the product catalog
  I want to search, filter, and sort products
  So that I can find items quickly and efficiently","3644","Search for a product by Japanese name","","Sat Dec 20 01:44:07 UTC 2025","passed","Sat Dec 20 01:44:11 UTC 2025","","","",""
"","7","Document: Multiple innerHTML usage locations identified","WSTG-INPV-01: Stored XSS Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","XSS Payload Execution Detection","",""
"","4","should have product_catalog key in both languages","i18n translation data","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","required keys existence","",""
"","4","should have all required category options","i18n translation data","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","category and sorting options","",""
"","7","FIXED: escapeHTML neutralizes XSS payload: <img src=x onerror=alert(1)>","WSTG-INPV-01: Stored XSS Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","XSS Mitigation - escapeHTML Function","",""
"","6","should remove item when quantity becomes 0","AppState","Sat Dec 20 01:41:56 UTC 2025","passed","Sat Dec 20 01:41:56 UTC 2025","","cart management","",""
"As a user browsing the product catalog
  I want to navigate products by category tabs
  So that I can easily find products in specific categories","2650","All category tabs are displayed","","Sat Dec 20 01:43:16 UTC 2025","passed","Sat Dec 20 01:43:18 UTC 2025","","","",""
"","6","should delete todo item","AppState","Sat Dec 20 01:41:56 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","todo management","",""
"","9","should toggle todo completion","AppState","Sat Dec 20 01:41:56 UTC 2025","passed","Sat Dec 20 01:41:56 UTC 2025","","todo management","",""
"","26","should update placeholder attributes","UIManager","Sat Dec 20 01:41:56 UTC 2025","passed","Sat Dec 20 01:41:56 UTC 2025","","language switching","",""
"","64","VULNERABLE: Todo input accepts and stores XSS payload: <script>alert(1)</script>","WSTG-INPV-01: Stored XSS Testing","Sat Dec 20 01:41:56 UTC 2025","passed","Sat Dec 20 01:41:56 UTC 2025","","Todo/Memo Input - XSS Vectors","",""
"","7","PARTIAL: User data may persist after logout","WSTG-SESS-01: Session Management Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","Logout Functionality","",""
"","7","should have add_to_cart key in both languages","i18n translation data","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","required keys existence","",""
"","13","FIXED: escapeHTML properly escapes img onerror","WSTG-INPV-01: Stored XSS Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","XSS Mitigation - escapeHTML Function","",""
"","","VULNERABILITY: User preferences stored without protection","WSTG-CLNT-01: localStorage Security Testing","Sat Dec 20 01:41:57 UTC 2025","skipped","","","Sensitive Data Exposure","",""
"","17","should translate elements with data-i18n attribute","UIManager","Sat Dec 20 01:41:56 UTC 2025","passed","Sat Dec 20 01:41:56 UTC 2025","","language switching","",""
"","16","Login button could be clickjacked","WSTG-CLNT-02: Clickjacking Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","Sensitive Actions Vulnerable to Clickjacking","",""
"","8","should have shopping_cart key in both languages","i18n translation data","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","required keys existence","",""
"","4","should have consistent message types","i18n translation data","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","message consistency","",""
"","14","GOOD: Password is NOT stored in localStorage after login","WSTG-ATHN-02: Password Storage Testing","Sat Dec 20 01:41:58 UTC 2025","passed","Sat Dec 20 01:41:58 UTC 2025","","Password in localStorage","",""
"","13","Example: JavaScript frame busting code","WSTG-CLNT-02: Clickjacking Testing","Sat Dec 20 01:41:57 UTC 2025","passed","Sat Dec 20 01:41:57 UTC 2025","","Remediation Patterns","",""
