"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","should have password key in both languages","i18n translation data","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","required keys existence","",""
"","7","GOOD: Logout clears currentUser","WSTG-ATHN-02: Password Storage Testing","Tue Dec 16 12:46:54 UTC 2025","passed","Tue Dec 16 12:46:54 UTC 2025","","Logout Security","",""
"","8","Example: Session with expiration","WSTG-SESS-01: Session Management Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","Remediation Recommendations","",""
"","7","should sort products by price (low to high)","AppState","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","product filtering","",""
"","3","should have incomplete key in both languages","i18n translation data","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","required keys existence","",""
"","6","should load orders from localStorage","AppState","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","order management","",""
"","10","FIXED: escapeHTML properly escapes svg onload","WSTG-INPV-01: Stored XSS Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","XSS Mitigation - escapeHTML Function","",""
"","8","Event handler payload should not execute: <div onmouseover=""alert(1)"">hover me</div>","WSTG-INPV-02: DOM-based XSS Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","Event Handler Injection","",""
"","6","should delete todo item","AppState","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","todo management","",""
"","9","should update cart quantity","AppState","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","cart management","",""
"","9","Example: Data integrity check pattern","WSTG-CLNT-01: localStorage Security Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","Remediation Recommendations","",""
"","4","Check external scripts for SRI attributes","WSTG-CONF-01: CDN Integrity Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","External Script Integrity","",""
"","8","DOMPurify-like sanitization removes dangerous elements","WSTG-INPV-02: DOM-based XSS Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","Remediation Patterns","",""
"As a logged-in user
  I want to manage items in my shopping cart
  So that I can prepare for checkout","3482","Remove item from cart","","Tue Dec 16 12:47:57 UTC 2025","passed","Tue Dec 16 12:48:00 UTC 2025","","","",""
"","13","Document: Multiple innerHTML usage locations identified","WSTG-INPV-01: Stored XSS Testing","Tue Dec 16 12:46:52 UTC 2025","passed","Tue Dec 16 12:46:52 UTC 2025","","XSS Payload Execution Detection","",""
"","7","FIXED: escapeHTML neutralizes XSS payload: <img src=x onerror=alert(1)>","WSTG-INPV-01: Stored XSS Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","XSS Mitigation - escapeHTML Function","",""
"","","VULNERABILITY: No rate limiting or lockout mechanism","WSTG-ATHN-01: Authentication Credentials Testing","Tue Dec 16 12:46:54 UTC 2025","skipped","","","Brute Force Protection","",""
"","16","Example: Detecting if page is framed","WSTG-CLNT-02: Clickjacking Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","Remediation Patterns","",""
"","10","should update document language attribute","UIManager","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","language switching","",""
"","8","URL parameters are not directly rendered without sanitization","WSTG-INPV-02: DOM-based XSS Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","Location Sources Analysis","",""
"","5","FIXED: Font Awesome has SRI attributes","WSTG-CONF-01: CDN Integrity Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","Font Awesome CDN","",""
"","6","should have sort_price_low key in both languages","i18n translation data","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","required keys existence","",""
"","12","Example: CSP frame-ancestors meta tag","WSTG-CLNT-02: Clickjacking Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","Remediation Patterns","",""
"","15","should combine search and category filters","AppState","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","product filtering","",""
"As a multilingual user
  I want to switch between English and Japanese
  So that I can use the application in my preferred language","2662","Switch language to English","","Tue Dec 16 12:48:22 UTC 2025","passed","Tue Dec 16 12:48:25 UTC 2025","","","",""
"","4","should have product_catalog key in both languages","i18n translation data","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","required keys existence","",""
"","4","should have login key in both languages","i18n translation data","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","required keys existence","",""
"","16","Document: HTTP headers for clickjacking protection","WSTG-CLNT-02: Clickjacking Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","Server-Side Recommendations","",""
"","6","should calculate cart total correctly","AppState","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","cart management","",""
"","7","FIXED: escapeHTML handles null and undefined","WSTG-INPV-01: Stored XSS Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","XSS Mitigation - escapeHTML Function","",""
"","","VULNERABILITY: Application uses hardcoded credentials","WSTG-ATHN-01: Authentication Credentials Testing","Tue Dec 16 12:46:54 UTC 2025","skipped","","","Hardcoded Credentials","",""
"","","VULNERABLE: Order stores shipping info without sanitization","WSTG-INPV-01: Stored XSS Testing","Tue Dec 16 12:46:52 UTC 2025","skipped","","","Shipping Information - XSS Vectors","",""
"","7","FIXED: escapeHTML handles all special characters","WSTG-INPV-01: Stored XSS Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","XSS Mitigation - escapeHTML Function","",""
"","","VULNERABILITY: No session token - relies on localStorage flag","WSTG-ATHN-02: Password Storage Testing","Tue Dec 16 12:46:54 UTC 2025","skipped","","","Session Token Security","",""
"","13","should have English translations for all Japanese product names","i18n translation data","Tue Dec 16 12:46:54 UTC 2025","passed","Tue Dec 16 12:46:54 UTC 2025","","product names translation","",""
"","14","should update active language button","UIManager","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","language switching","",""
"","7","Check for debug flags in source code","WSTG-CONF-02: Error Handling Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","Debug Mode Detection","",""
"","6","Invalid username is rejected","WSTG-ATHN-01: Authentication Credentials Testing","Tue Dec 16 12:46:54 UTC 2025","passed","Tue Dec 16 12:46:54 UTC 2025","","Credential Validation","",""
"","66","should initialize with default values","AppState","Tue Dec 16 12:46:52 UTC 2025","passed","Tue Dec 16 12:46:52 UTC 2025","","constructor and initialization","",""
"","6","localStorage changes affect all tabs","WSTG-CLNT-01: localStorage Security Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","Cross-Tab Communication Risks","",""
"","","VULNERABILITY: Order total can be set to any value","WSTG-BUSL-02: Checkout Bypass Testing","Tue Dec 16 12:46:53 UTC 2025","skipped","","","Order Total Manipulation","",""
"","","VULNERABILITY: Non-existent product ID can be added","WSTG-BUSL-01: Cart Manipulation Testing","Tue Dec 16 12:46:53 UTC 2025","skipped","","","Product ID Manipulation","",""
"","5","Server-side validation pattern","WSTG-BUSL-01: Cart Manipulation Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","Remediation Recommendations","",""
"","18","GOOD: Password is NOT stored in localStorage after login","WSTG-ATHN-02: Password Storage Testing","Tue Dec 16 12:46:54 UTC 2025","passed","Tue Dec 16 12:46:54 UTC 2025","","Password in localStorage","",""
"","48","should not have empty translation values","i18n translation data","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","key consistency","",""
"","23","should sort products by price (high to low)","AppState","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","product filtering","",""
"","5","Document: Recommended unhandledrejection handler","WSTG-CONF-02: Error Handling Testing","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","Global Error Handling","",""
"","4","should have translation for product: Web開発の教科書","i18n translation data","Tue Dec 16 12:46:53 UTC 2025","passed","Tue Dec 16 12:46:53 UTC 2025","","product names translation","",""
"","","VULNERABILITY: Weak password accepted","WSTG-ATHN-01: Authentication Credentials Testing","Tue Dec 16 12:46:54 UTC 2025","skipped","","","Password Complexity","",""
