"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","should load orders from localStorage","AppState","Fri Dec 19 17:35:14 UTC 2025","passed","Fri Dec 19 17:35:14 UTC 2025","","order management","",""
"","4","Document: Why SRI is important","WSTG-CONF-01: CDN Integrity Testing","Fri Dec 19 17:35:15 UTC 2025","passed","Fri Dec 19 17:35:15 UTC 2025","","SRI Best Practices","",""
"","11","Document: Recommended window.onerror handler","WSTG-CONF-02: Error Handling Testing","Fri Dec 19 17:35:14 UTC 2025","passed","Fri Dec 19 17:35:14 UTC 2025","","Global Error Handling","",""
"","7","Document: Recommended Content-Security-Policy","WSTG-CONF-01: CDN Integrity Testing","Fri Dec 19 17:35:15 UTC 2025","passed","Fri Dec 19 17:35:15 UTC 2025","","CSP Headers Recommendation","",""
"","6","should return original name when translation not found","UIManager","Fri Dec 19 17:35:14 UTC 2025","passed","Fri Dec 19 17:35:14 UTC 2025","","product name translation","",""
"","14","FIXED: user-profile.html has clickjacking protection","WSTG-CLNT-02: Clickjacking Testing","Fri Dec 19 17:35:15 UTC 2025","passed","Fri Dec 19 17:35:15 UTC 2025","","Frame Protection Headers","",""
"","18","should switch language and update UI","UIManager","Fri Dec 19 17:35:14 UTC 2025","passed","Fri Dec 19 17:35:14 UTC 2025","","language switching","",""
"","3","should have add_to_cart key in both languages","i18n translation data","Fri Dec 19 17:35:15 UTC 2025","passed","Fri Dec 19 17:35:15 UTC 2025","","required keys existence","",""
"","5","should have cart_empty key in both languages","i18n translation data","Fri Dec 19 17:35:15 UTC 2025","passed","Fri Dec 19 17:35:15 UTC 2025","","required keys existence","",""
"","","VULNERABILITY: Application uses hardcoded credentials","WSTG-ATHN-01: Authentication Credentials Testing","Fri Dec 19 17:35:15 UTC 2025","skipped","","","Hardcoded Credentials","",""
"","6","should have checkout_confirm key in both languages","i18n translation data","Fri Dec 19 17:35:15 UTC 2025","passed","Fri Dec 19 17:35:15 UTC 2025","","required keys existence","",""
"","4","should have title key in both languages","i18n translation data","Fri Dec 19 17:35:15 UTC 2025","passed","Fri Dec 19 17:35:15 UTC 2025","","required keys existence","",""
