"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Data persists across browser sessions","WSTG-CLNT-01: localStorage Security Testing","Tue Dec 16 12:51:01 UTC 2025","passed","Tue Dec 16 12:51:01 UTC 2025","","Data Persistence Risks","",""
"","8","should have sort_name key in both languages","i18n translation data","Tue Dec 16 12:51:01 UTC 2025","passed","Tue Dec 16 12:51:01 UTC 2025","","required keys existence","",""
"","13","Attribute encoding prevents attribute injection","WSTG-INPV-02: DOM-based XSS Testing","Tue Dec 16 12:51:01 UTC 2025","passed","Tue Dec 16 12:51:01 UTC 2025","","Remediation Patterns","",""
"","27","GOOD: Logout clears currentUser","WSTG-SESS-01: Session Management Testing","Tue Dec 16 12:51:00 UTC 2025","passed","Tue Dec 16 12:51:01 UTC 2025","","Logout Functionality","",""
"","","VULNERABILITY: localStorage data is not encrypted","WSTG-CLNT-01: localStorage Security Testing","Tue Dec 16 12:51:01 UTC 2025","skipped","","","Data Tampering Risks","",""
"","9","should increase quantity when adding existing product","AppState","Tue Dec 16 12:51:00 UTC 2025","passed","Tue Dec 16 12:51:00 UTC 2025","","cart management","",""
"","","VULNERABILITY: Negative quantity can be set","WSTG-BUSL-01: Cart Manipulation Testing","Tue Dec 16 12:51:01 UTC 2025","skipped","","","Quantity Manipulation","",""
"","","VULNERABILITY: PII can be stored in plaintext localStorage","WSTG-ATHN-02: Password Storage Testing","Tue Dec 16 12:51:01 UTC 2025","skipped","","","Sensitive Data in localStorage","",""
"","9","should have title key in both languages","i18n translation data","Tue Dec 16 12:51:01 UTC 2025","passed","Tue Dec 16 12:51:01 UTC 2025","","required keys existence","",""
"","15","should delete todo item","AppState","Tue Dec 16 12:51:00 UTC 2025","passed","Tue Dec 16 12:51:00 UTC 2025","","todo management","",""
"","","VULNERABILITY: User preferences stored without protection","WSTG-CLNT-01: localStorage Security Testing","Tue Dec 16 12:51:01 UTC 2025","skipped","","","Sensitive Data Exposure","",""
"","3","should have consistent message types","i18n translation data","Tue Dec 16 12:51:01 UTC 2025","passed","Tue Dec 16 12:51:01 UTC 2025","","message consistency","",""
"As a logged-in user
  I want to manage items in my shopping cart
  So that I can prepare for checkout","3530","Add a product to the cart","","Tue Dec 16 12:52:04 UTC 2025","passed","Tue Dec 16 12:52:08 UTC 2025","","","",""
"","8","should return English name when language is English","UIManager","Tue Dec 16 12:51:00 UTC 2025","passed","Tue Dec 16 12:51:00 UTC 2025","","product name translation","",""
"","5","currentUser storage does not contain password","WSTG-ATHN-02: Password Storage Testing","Tue Dec 16 12:51:01 UTC 2025","passed","Tue Dec 16 12:51:01 UTC 2025","","Password in localStorage","",""
"","5","should return 0 for empty cart total","AppState","Tue Dec 16 12:51:00 UTC 2025","passed","Tue Dec 16 12:51:00 UTC 2025","","cart management","",""
"","9","should return original name when translation not found","UIManager","Tue Dec 16 12:51:00 UTC 2025","passed","Tue Dec 16 12:51:00 UTC 2025","","product name translation","",""
"","3","should have all required sorting options","i18n translation data","Tue Dec 16 12:51:01 UTC 2025","passed","Tue Dec 16 12:51:01 UTC 2025","","category and sorting options","",""
"","5","FIXED: escapeHTML handles Japanese text","WSTG-INPV-01: Stored XSS Testing","Tue Dec 16 12:51:00 UTC 2025","passed","Tue Dec 16 12:51:00 UTC 2025","","XSS Mitigation - escapeHTML Function","",""
"","6","Example: JavaScript frame busting code","WSTG-CLNT-02: Clickjacking Testing","Tue Dec 16 12:51:01 UTC 2025","passed","Tue Dec 16 12:51:01 UTC 2025","","Remediation Patterns","",""
"","24","Empty cart can be verified","WSTG-BUSL-02: Checkout Bypass Testing","Tue Dec 16 12:51:01 UTC 2025","passed","Tue Dec 16 12:51:01 UTC 2025","","Empty Cart Checkout","",""
"","","VULNERABILITY: Extremely large quantity can be set","WSTG-BUSL-01: Cart Manipulation Testing","Tue Dec 16 12:51:01 UTC 2025","skipped","","","Quantity Manipulation","",""
"","","VULNERABILITY: No session token - relies on localStorage flag","WSTG-ATHN-02: Password Storage Testing","Tue Dec 16 12:51:01 UTC 2025","skipped","","","Session Token Security","",""
"","3","should have memo_added key in both languages","i18n translation data","Tue Dec 16 12:51:01 UTC 2025","passed","Tue Dec 16 12:51:01 UTC 2025","","required keys existence","",""
"","9","should translate category names in Japanese","UIManager","Tue Dec 16 12:51:00 UTC 2025","passed","Tue Dec 16 12:51:00 UTC 2025","","category name translation","",""
"","4","should have translation for product: プログラミング入門書","i18n translation data","Tue Dec 16 12:51:01 UTC 2025","passed","Tue Dec 16 12:51:01 UTC 2025","","product names translation","",""
"","11","should sort products by name","AppState","Tue Dec 16 12:51:00 UTC 2025","passed","Tue Dec 16 12:51:00 UTC 2025","","product filtering","",""
"","9","Event handler payload should not execute: <video><source onerror=""alert(1)"">","WSTG-INPV-02: DOM-based XSS Testing","Tue Dec 16 12:51:01 UTC 2025","passed","Tue Dec 16 12:51:01 UTC 2025","","Event Handler Injection","",""
