"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","PARTIAL: User data may persist after logout","WSTG-SESS-01: Session Management Testing","Tue Dec 16 12:43:38 UTC 2025","passed","Tue Dec 16 12:43:38 UTC 2025","","Logout Functionality","",""
"","4","should have translation for product: Tシャツ","i18n translation data","Tue Dec 16 12:43:39 UTC 2025","passed","Tue Dec 16 12:43:39 UTC 2025","","product names translation","",""
"","13","should have title key in both languages","i18n translation data","Tue Dec 16 12:43:39 UTC 2025","passed","Tue Dec 16 12:43:39 UTC 2025","","required keys existence","",""
"","","VULNERABILITY: Order total can be set to any value","WSTG-BUSL-02: Checkout Bypass Testing","Tue Dec 16 12:43:38 UTC 2025","skipped","","","Order Total Manipulation","",""
"As a logged-in user
  I want to manage items in my shopping cart
  So that I can prepare for checkout","3437","Remove item from cart","","Tue Dec 16 12:44:39 UTC 2025","passed","Tue Dec 16 12:44:43 UTC 2025","","","",""
"","6","FIXED: escapeHTML properly escapes svg onload","WSTG-INPV-01: Stored XSS Testing","Tue Dec 16 12:43:38 UTC 2025","passed","Tue Dec 16 12:43:38 UTC 2025","","XSS Mitigation - escapeHTML Function","",""
"As a logged-in user
  I want to complete the checkout process
  So that I can place an order and view my order history","8090","View order history after placing order","","Tue Dec 16 12:44:54 UTC 2025","passed","Tue Dec 16 12:45:02 UTC 2025","","","",""
"","14","Corrupted localStorage handling","WSTG-CONF-02: Error Handling Testing","Tue Dec 16 12:43:38 UTC 2025","passed","Tue Dec 16 12:43:38 UTC 2025","","localStorage Error Handling","",""
"","6","Missing localStorage items are handled","WSTG-CONF-02: Error Handling Testing","Tue Dec 16 12:43:38 UTC 2025","passed","Tue Dec 16 12:43:38 UTC 2025","","localStorage Error Handling","",""
"","14","should reject login with incorrect password","AppState","Tue Dec 16 12:43:38 UTC 2025","passed","Tue Dec 16 12:43:38 UTC 2025","","authentication","",""
"","7","Example: Correct SRI implementation","WSTG-CONF-01: CDN Integrity Testing","Tue Dec 16 12:43:39 UTC 2025","passed","Tue Dec 16 12:43:39 UTC 2025","","SRI Best Practices","",""
"","4","should have all required category options","i18n translation data","Tue Dec 16 12:43:39 UTC 2025","passed","Tue Dec 16 12:43:39 UTC 2025","","category and sorting options","",""
"","7","should save order to localStorage","AppState","Tue Dec 16 12:43:38 UTC 2025","passed","Tue Dec 16 12:43:38 UTC 2025","","order management","",""
"","7","GOOD: eval is not used in application","WSTG-INPV-02: DOM-based XSS Testing","Tue Dec 16 12:43:39 UTC 2025","passed","Tue Dec 16 12:43:39 UTC 2025","","eval Sink Analysis","",""
"","","VULNERABILITY: Orders can be created with empty cart via localStorage","WSTG-BUSL-02: Checkout Bypass Testing","Tue Dec 16 12:43:38 UTC 2025","skipped","","","Empty Cart Checkout","",""
"","9","should have add key in both languages","i18n translation data","Tue Dec 16 12:43:39 UTC 2025","passed","Tue Dec 16 12:43:39 UTC 2025","","required keys existence","",""
"","","VULNERABILITY: No session token - relies on localStorage flag","WSTG-ATHN-02: Password Storage Testing","Tue Dec 16 12:43:39 UTC 2025","skipped","","","Session Token Security","",""
"","5","should have same keys in both languages (excluding product_names)","i18n translation data","Tue Dec 16 12:43:38 UTC 2025","passed","Tue Dec 16 12:43:38 UTC 2025","","key consistency","",""
"","6","GOOD: document.write is not used in application","WSTG-INPV-02: DOM-based XSS Testing","Tue Dec 16 12:43:39 UTC 2025","passed","Tue Dec 16 12:43:39 UTC 2025","","document.write Sink Analysis","",""
"","8","should create order with cart items","AppState","Tue Dec 16 12:43:38 UTC 2025","passed","Tue Dec 16 12:43:38 UTC 2025","","order management","",""
"","4","should have sort_price_low key in both languages","i18n translation data","Tue Dec 16 12:43:39 UTC 2025","passed","Tue Dec 16 12:43:39 UTC 2025","","required keys existence","",""
"","23","should have English translations for all Japanese product names","i18n translation data","Tue Dec 16 12:43:39 UTC 2025","passed","Tue Dec 16 12:43:39 UTC 2025","","product names translation","",""
"","5","currentUser storage does not contain password","WSTG-ATHN-02: Password Storage Testing","Tue Dec 16 12:43:39 UTC 2025","passed","Tue Dec 16 12:43:39 UTC 2025","","Password in localStorage","",""
"","4","should have footer_text key in both languages","i18n translation data","Tue Dec 16 12:43:39 UTC 2025","passed","Tue Dec 16 12:43:39 UTC 2025","","required keys existence","",""
"As a user browsing the product catalog
  I want to search, filter, and sort products
  So that I can find items quickly and efficiently","2671","Sort products by price ascending","","Tue Dec 16 12:45:25 UTC 2025","passed","Tue Dec 16 12:45:28 UTC 2025","","","",""
"","3","should have translation for product: コーヒーメーカー","i18n translation data","Tue Dec 16 12:43:39 UTC 2025","passed","Tue Dec 16 12:43:39 UTC 2025","","product names translation","",""
"","3","should have checkout_confirm key in both languages","i18n translation data","Tue Dec 16 12:43:39 UTC 2025","passed","Tue Dec 16 12:43:39 UTC 2025","","required keys existence","",""
"","4","should have search_placeholder key in both languages","i18n translation data","Tue Dec 16 12:43:39 UTC 2025","passed","Tue Dec 16 12:43:39 UTC 2025","","required keys existence","",""
"","21","Example: Session with expiration","WSTG-SESS-01: Session Management Testing","Tue Dec 16 12:43:38 UTC 2025","passed","Tue Dec 16 12:43:38 UTC 2025","","Remediation Recommendations","",""
"","14","VULNERABLE: Todo input accepts and stores XSS payload: <svg onload=alert(1)>","WSTG-INPV-01: Stored XSS Testing","Tue Dec 16 12:43:38 UTC 2025","passed","Tue Dec 16 12:43:38 UTC 2025","","Todo/Memo Input - XSS Vectors","",""
"As a logged-in user
  I want to manage items in my shopping cart
  So that I can prepare for checkout","3479","Add a product to the cart","","Tue Dec 16 12:44:36 UTC 2025","passed","Tue Dec 16 12:44:39 UTC 2025","","","",""
"","12","should delete todo item","AppState","Tue Dec 16 12:43:38 UTC 2025","passed","Tue Dec 16 12:43:38 UTC 2025","","todo management","",""
