"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Data may persist after logout (by design)","WSTG-ATHN-02: Password Storage Testing","Tue Dec 16 12:49:34 UTC 2025","passed","Tue Dec 16 12:49:34 UTC 2025","","Logout Security","",""
"","8","Document: Try-catch wrapper pattern","WSTG-CONF-02: Error Handling Testing","Tue Dec 16 12:49:33 UTC 2025","passed","Tue Dec 16 12:49:33 UTC 2025","","Exception Handling Patterns","",""
"","5","should have title key in both languages","i18n translation data","Tue Dec 16 12:49:34 UTC 2025","passed","Tue Dec 16 12:49:34 UTC 2025","","required keys existence","",""
"","15","Server-side validation pattern","WSTG-BUSL-01: Cart Manipulation Testing","Tue Dec 16 12:49:34 UTC 2025","passed","Tue Dec 16 12:49:34 UTC 2025","","Remediation Recommendations","",""
"","3","should have login_error key in both languages","i18n translation data","Tue Dec 16 12:49:34 UTC 2025","passed","Tue Dec 16 12:49:34 UTC 2025","","required keys existence","",""
"","11","should have English translations for all Japanese product names","i18n translation data","Tue Dec 16 12:49:34 UTC 2025","passed","Tue Dec 16 12:49:34 UTC 2025","","product names translation","",""
"","2","should have consistent message types","i18n translation data","Tue Dec 16 12:49:34 UTC 2025","passed","Tue Dec 16 12:49:34 UTC 2025","","message consistency","",""
"","9","Checkout button could be clickjacked","WSTG-CLNT-02: Clickjacking Testing","Tue Dec 16 12:49:34 UTC 2025","passed","Tue Dec 16 12:49:34 UTC 2025","","Sensitive Actions Vulnerable to Clickjacking","",""
"","5","should not add empty todo","AppState","Tue Dec 16 12:49:33 UTC 2025","passed","Tue Dec 16 12:49:33 UTC 2025","","todo management","",""
"","6","Example: JavaScript frame busting code","WSTG-CLNT-02: Clickjacking Testing","Tue Dec 16 12:49:34 UTC 2025","passed","Tue Dec 16 12:49:34 UTC 2025","","Remediation Patterns","",""
"","","VULNERABILITY: No session token randomness","WSTG-SESS-01: Session Management Testing","Tue Dec 16 12:49:33 UTC 2025","skipped","","","Session Token Analysis","",""
