"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","should have translation for product: ジーンズ","i18n translation data","Wed Dec 17 14:50:11 UTC 2025","passed","Wed Dec 17 14:50:12 UTC 2025","","product names translation","",""
"","","VULNERABILITY: Orders can be created with empty cart via localStorage","WSTG-BUSL-02: Checkout Bypass Testing","Wed Dec 17 14:50:11 UTC 2025","skipped","","","Empty Cart Checkout","",""
"","6","Empty string input is handled","WSTG-CONF-02: Error Handling Testing","Wed Dec 17 14:50:11 UTC 2025","passed","Wed Dec 17 14:50:11 UTC 2025","","Invalid Input Handling","",""
"","4","should have same product names in both languages","i18n translation data","Wed Dec 17 14:50:11 UTC 2025","passed","Wed Dec 17 14:50:11 UTC 2025","","key consistency","",""
"","14","Login button could be clickjacked","WSTG-CLNT-02: Clickjacking Testing","Wed Dec 17 14:50:11 UTC 2025","passed","Wed Dec 17 14:50:11 UTC 2025","","Sensitive Actions Vulnerable to Clickjacking","",""
"","6","Example: JavaScript frame busting code","WSTG-CLNT-02: Clickjacking Testing","Wed Dec 17 14:50:11 UTC 2025","passed","Wed Dec 17 14:50:11 UTC 2025","","Remediation Patterns","",""
"","2","should have incomplete key in both languages","i18n translation data","Wed Dec 17 14:50:11 UTC 2025","passed","Wed Dec 17 14:50:11 UTC 2025","","required keys existence","",""
"","15","should not add empty todo","AppState","Wed Dec 17 14:50:11 UTC 2025","passed","Wed Dec 17 14:50:11 UTC 2025","","todo management","",""
"As a logged-in user
  I want to manage items in my shopping cart
  So that I can prepare for checkout","3491","Remove item from cart","","Wed Dec 17 14:51:27 UTC 2025","passed","Wed Dec 17 14:51:30 UTC 2025","","","",""
"","14","Checkout button could be clickjacked","WSTG-CLNT-02: Clickjacking Testing","Wed Dec 17 14:50:11 UTC 2025","passed","Wed Dec 17 14:50:11 UTC 2025","","Sensitive Actions Vulnerable to Clickjacking","",""
"","24","FIXED: index.html has clickjacking protection","WSTG-CLNT-02: Clickjacking Testing","Wed Dec 17 14:50:11 UTC 2025","passed","Wed Dec 17 14:50:11 UTC 2025","","Frame Protection Headers","",""
"","8","Event handler payload should not execute: <video><source onerror=""alert(1)"">","WSTG-INPV-02: DOM-based XSS Testing","Wed Dec 17 14:50:11 UTC 2025","passed","Wed Dec 17 14:50:11 UTC 2025","","Event Handler Injection","",""
"","3","should have consistent message types","i18n translation data","Wed Dec 17 14:50:12 UTC 2025","passed","Wed Dec 17 14:50:12 UTC 2025","","message consistency","",""
"","4","should have all required category options","i18n translation data","Wed Dec 17 14:50:12 UTC 2025","passed","Wed Dec 17 14:50:12 UTC 2025","","category and sorting options","",""
"","2","should have memo_added key in both languages","i18n translation data","Wed Dec 17 14:50:11 UTC 2025","passed","Wed Dec 17 14:50:11 UTC 2025","","required keys existence","",""
"","8","should logout and clear data","AppState","Wed Dec 17 14:50:11 UTC 2025","passed","Wed Dec 17 14:50:11 UTC 2025","","authentication","",""
