"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Empty cart can be verified","WSTG-BUSL-02: Checkout Bypass Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","Empty Cart Checkout","",""
"","7","should have incomplete key in both languages","i18n translation data","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","required keys existence","",""
"","34","should sort products by price (high to low)","AppState","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","product filtering","",""
"","18","GOOD: Password is NOT stored in localStorage after login","WSTG-ATHN-02: Password Storage Testing","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","Password in localStorage","",""
"","9","should save order to localStorage","AppState","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","order management","",""
"","28","should load data from localStorage","AppState","Thu Dec 18 06:46:57 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","constructor and initialization","",""
"","","VULNERABILITY: Session can be created without authentication","WSTG-SESS-01: Session Management Testing","Thu Dec 18 06:46:58 UTC 2025","skipped","","","Session Token Analysis","",""
"","","VULNERABILITY: Order total can be set to any value","WSTG-BUSL-02: Checkout Bypass Testing","Thu Dec 18 06:46:58 UTC 2025","skipped","","","Order Total Manipulation","",""
"","24","Safe alternative: textContent does not execute scripts","WSTG-INPV-02: DOM-based XSS Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","innerHTML Sink Analysis","",""
"As a user of ShopTodo
  I want to browse products and complete purchases
  So that I can shop efficiently from discovery to checkout","9034","Complete purchase workflow from login to order history","","Thu Dec 18 06:49:02 UTC 2025","passed","Thu Dec 18 06:49:11 UTC 2025","","","",""
"","14","should return translation for current language","UIManager","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","translation helper","",""
"","7","should save all data to storage","AppState","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","language management","",""
"","21","FIXED: escapeHTML neutralizes XSS payload: <script>alert(1)</script>","WSTG-INPV-01: Stored XSS Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","XSS Mitigation - escapeHTML Function","",""
"","10","VULNERABLE: innerHTML renders todo text without sanitization","WSTG-INPV-01: Stored XSS Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","Todo/Memo Input - XSS Vectors","",""
"","15","Example: Visual frame detection warning","WSTG-CLNT-02: Clickjacking Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","Remediation Patterns","",""
"","5","Document: Recommended Content-Security-Policy","WSTG-CONF-01: CDN Integrity Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","CSP Headers Recommendation","",""
"","6","should have memo_placeholder key in both languages","i18n translation data","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","required keys existence","",""
"","4","should have username key in both languages","i18n translation data","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","required keys existence","",""
"","4","should have translation for product: Tシャツ","i18n translation data","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","product names translation","",""
"","11","Invalid login credentials do not expose internal errors","WSTG-CONF-02: Error Handling Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","Invalid Input Handling","",""
"","24","Checkout button could be clickjacked","WSTG-CLNT-02: Clickjacking Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","Sensitive Actions Vulnerable to Clickjacking","",""
"","9","should sort products by price (low to high)","AppState","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","product filtering","",""
"","5","currentUser storage does not contain password","WSTG-ATHN-02: Password Storage Testing","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","Password in localStorage","",""
"","10","Safe alternative: createElement + textContent pattern","WSTG-INPV-02: DOM-based XSS Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","innerHTML Sink Analysis","",""
"","6","should have title key in both languages","i18n translation data","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","required keys existence","",""
"","5","Check for verbose console logging","WSTG-CONF-02: Error Handling Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","Debug Mode Detection","",""
"","14","Example: Session-based storage pattern","WSTG-CLNT-01: localStorage Security Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","Remediation Recommendations","",""
"","16","should calculate cart total correctly","AppState","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","cart management","",""
"","6","should filter by home category","Category Tab","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","category filtering","",""
"","4","Server-side validation pattern","WSTG-BUSL-01: Cart Manipulation Testing","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","Remediation Recommendations","",""
"","","VULNERABILITY: Weak password accepted","WSTG-ATHN-01: Authentication Credentials Testing","Thu Dec 18 06:46:59 UTC 2025","skipped","","","Password Complexity","",""
"","3","should have all required category options","i18n translation data","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","category and sorting options","",""
"","","VULNERABILITY: No session token - relies on localStorage flag","WSTG-ATHN-02: Password Storage Testing","Thu Dec 18 06:46:59 UTC 2025","skipped","","","Session Token Security","",""
"","","VULNERABILITY: No session timeout implemented","WSTG-SESS-01: Session Management Testing","Thu Dec 18 06:46:58 UTC 2025","skipped","","","Session Timeout","",""
"","11","Large data can be stored (potential DoS vector)","WSTG-CLNT-01: localStorage Security Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","Storage Quota and DoS","",""
"","19","VULNERABLE: User profile displayName accepts HTML","WSTG-INPV-01: Stored XSS Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","User Profile - XSS Vectors","",""
"","5","should set language and save to storage","AppState","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","language management","",""
"","55","should initialize with AppState","UIManager","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","constructor","",""
"","4","should allow setting back to all categories","Category Tab","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","currentCategory state","",""
"","6","should call all update methods","UIManager","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","UI update methods","",""
"","10","GOOD: Source code should not contain sensitive comments","WSTG-CONF-02: Error Handling Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","Information Disclosure","",""
"As a user with accessibility needs
  I want the application to be accessible
  So that I can use it with assistive technologies","2402","Login modal should be accessible","","Thu Dec 18 06:48:04 UTC 2025","passed","Thu Dec 18 06:48:07 UTC 2025","","","",""
"","7","Error messages do not reveal system information","WSTG-CONF-02: Error Handling Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","Information Disclosure","",""
"","8","should update placeholder attributes","UIManager","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","language switching","",""
"","3","should handle missing category gracefully","Recommended Products","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","getRecommendedProducts","",""
"","4","should have favorite_memo key in both languages","i18n translation data","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","required keys existence","",""
"","9","should sort filtered category by price high to low","Category Tab","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","category with sort combination","",""
"","15","should reject login with incorrect password","AppState","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","authentication","",""
"As a user browsing the product catalog
  I want to navigate products by category tabs
  So that I can easily find products in specific categories","3163","Click Electronics tab filters products","","Thu Dec 18 06:48:23 UTC 2025","passed","Thu Dec 18 06:48:26 UTC 2025","","","",""
"As a user visiting the ShopTodo application
  I want to see recommended products from each category
  So that I can quickly discover popular items","817","Recommended section displays 4 products","","Thu Dec 18 06:49:11 UTC 2025","passed","Thu Dec 18 06:49:12 UTC 2025","","","",""
"","5","should have sort_name key in both languages","i18n translation data","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","required keys existence","",""
"","6","should trim todo text","AppState","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","todo management","",""
"","9","should logout and clear data","AppState","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","authentication","",""
"","12","should filter by clothing category","Category Tab","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","category filtering","",""
"","5","Document: Recommended error handling pattern","WSTG-CONF-02: Error Handling Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","Exception Handling Patterns","",""
"","7","should filter products by category","AppState","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","product filtering","",""
"","2","should have translation for product: Web開発の教科書","i18n translation data","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","product names translation","",""
"","11","GOOD: eval is not used in application","WSTG-INPV-02: DOM-based XSS Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","eval Sink Analysis","",""
"","3","should have translation for product: ワイヤレスイヤホン","i18n translation data","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","product names translation","",""
"","7","should have products in all categories","Category Tab","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","category product counts","",""
"","4","should have product_catalog key in both languages","i18n translation data","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","required keys existence","",""
"","14","should show all products when category is empty","Category Tab","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","category filtering","",""
"","6","SQL injection in credentials does not cause errors","WSTG-ATHN-01: Authentication Credentials Testing","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","Credential Validation","",""
"","6","should return the first product from each category","Recommended Products","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","getRecommendedProducts","",""
"","4","should have cart_empty key in both languages","i18n translation data","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","required keys existence","",""
"","","VULNERABILITY: Any JavaScript can modify localStorage","WSTG-CLNT-01: localStorage Security Testing","Thu Dec 18 06:46:58 UTC 2025","skipped","","","Data Tampering Risks","",""
"","4","should set category using setCategory method","Category Tab","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","currentCategory state","",""
"As a multilingual user
  I want to switch between English and Japanese
  So that I can use the application in my preferred language","3137","Switch language to English","","Thu Dec 18 06:48:46 UTC 2025","passed","Thu Dec 18 06:48:49 UTC 2025","","","",""
"","9","should clear cart after creating order","AppState","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","order management","",""
"","12","should return 0 for empty cart total","AppState","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","cart management","",""
"","5","should have memo_added key in both languages","i18n translation data","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","required keys existence","",""
"","10","Document: Try-catch wrapper pattern","WSTG-CONF-02: Error Handling Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","Exception Handling Patterns","",""
"","18","should initialize with empty string (all categories)","Category Tab","Thu Dec 18 06:46:59 UTC 2025","passed","Thu Dec 18 06:46:59 UTC 2025","","currentCategory state","",""
"","4","should have logout key in both languages","i18n translation data","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","required keys existence","",""
"","16","Example: JavaScript frame busting code","WSTG-CLNT-02: Clickjacking Testing","Thu Dec 18 06:46:58 UTC 2025","passed","Thu Dec 18 06:46:58 UTC 2025","","Remediation Patterns","",""
