"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","should have complete key in both languages","i18n translation data","Mon Dec 15 15:25:01 UTC 2025","passed","Mon Dec 15 15:25:01 UTC 2025","","required keys existence","",""
"","4","Check for debug flags in source code","WSTG-CONF-02: Error Handling Testing","Mon Dec 15 15:25:01 UTC 2025","passed","Mon Dec 15 15:25:01 UTC 2025","","Debug Mode Detection","",""
"","7","VULNERABILITY: Orders can be created with empty shipping info","WSTG-BUSL-02: Checkout Bypass Testing","Mon Dec 15 15:25:01 UTC 2025","passed","Mon Dec 15 15:25:01 UTC 2025","","Shipping Validation Bypass","",""
"","33","VULNERABILITY: All data stored in localStorage persists indefinitely","WSTG-CLNT-01: localStorage Security Testing","Mon Dec 15 15:25:01 UTC 2025","passed","Mon Dec 15 15:25:01 UTC 2025","","Data Persistence Risks","",""
"","7","should filter products by category","AppState","Mon Dec 15 15:25:01 UTC 2025","passed","Mon Dec 15 15:25:01 UTC 2025","","product filtering","",""
"","12","should clear cart after creating order","AppState","Mon Dec 15 15:25:01 UTC 2025","passed","Mon Dec 15 15:25:01 UTC 2025","","order management","",""
"","4","should have sort_name key in both languages","i18n translation data","Mon Dec 15 15:25:01 UTC 2025","passed","Mon Dec 15 15:25:01 UTC 2025","","required keys existence","",""
"","5","should have search_placeholder key in both languages","i18n translation data","Mon Dec 15 15:25:01 UTC 2025","passed","Mon Dec 15 15:25:01 UTC 2025","","required keys existence","",""
"","2","VULNERABILITY: Weak password accepted","WSTG-ATHN-01: Authentication Credentials Testing","Mon Dec 15 15:25:02 UTC 2025","passed","Mon Dec 15 15:25:02 UTC 2025","","Password Complexity","",""
"","19","VULNERABLE: Todo input accepts and stores XSS payload: <script>alert(1)</script>","WSTG-INPV-01: Stored XSS Testing","Mon Dec 15 15:25:01 UTC 2025","passed","Mon Dec 15 15:25:01 UTC 2025","","Todo/Memo Input - XSS Vectors","",""
"","19","Server-side validation pattern","WSTG-BUSL-01: Cart Manipulation Testing","Mon Dec 15 15:25:02 UTC 2025","passed","Mon Dec 15 15:25:02 UTC 2025","","Remediation Recommendations","",""
"","7","should remove existing message before showing new one","UIManager","Mon Dec 15 15:25:01 UTC 2025","passed","Mon Dec 15 15:25:01 UTC 2025","","message display","",""
"","12","Safe alternative: textContent does not execute scripts","WSTG-INPV-02: DOM-based XSS Testing","Mon Dec 15 15:25:01 UTC 2025","passed","Mon Dec 15 15:25:01 UTC 2025","","innerHTML Sink Analysis","",""
"","3","should have translation for product: Web開発の教科書","i18n translation data","Mon Dec 15 15:25:01 UTC 2025","passed","Mon Dec 15 15:25:01 UTC 2025","","product names translation","",""
"","36","innerHTML with user-controlled data creates XSS risk","WSTG-INPV-02: DOM-based XSS Testing","Mon Dec 15 15:25:01 UTC 2025","passed","Mon Dec 15 15:25:01 UTC 2025","","innerHTML Sink Analysis","",""
"","30","Event handler payload should not execute: <div onmouseover=""alert(1)"">hover me</div>","WSTG-INPV-02: DOM-based XSS Testing","Mon Dec 15 15:25:01 UTC 2025","passed","Mon Dec 15 15:25:01 UTC 2025","","Event Handler Injection","",""
"","13","localStorage changes affect all tabs","WSTG-CLNT-01: localStorage Security Testing","Mon Dec 15 15:25:01 UTC 2025","passed","Mon Dec 15 15:25:01 UTC 2025","","Cross-Tab Communication Risks","",""
"","7","should have title key in both languages","i18n translation data","Mon Dec 15 15:25:01 UTC 2025","passed","Mon Dec 15 15:25:01 UTC 2025","","required keys existence","",""
