"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","should trim todo text","AppState","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","todo management","",""
"","9","should have product_image key in both languages","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","required keys existence","",""
"","3","should sort products by name","AppState","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","product filtering","",""
"","8","should not add non-existent product","AppState","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","cart management","",""
"","10","should have login_error key in both languages","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","required keys existence","",""
"","14","should load data from localStorage","AppState","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","constructor and initialization","",""
"As a logged-in user
  I want to manage my todo items
  So that I can keep track of my shopping tasks and notes","4079","Mark todo as complete","","Mon Dec 15 02:42:30 UTC 2025","passed","Mon Dec 15 02:42:34 UTC 2025","","","",""
"","28","should not have empty translation values","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","key consistency","",""
"","10","should have home key in both languages","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","required keys existence","",""
"","5","should remove existing message before showing new one","UIManager","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","message display","",""
"","12","should have product_names object in both languages","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","structure validation","",""
"","5","should save order to localStorage","AppState","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","order management","",""
"","14","should reject login with incorrect username","AppState","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","authentication","",""
"","23","should update cart quantity","AppState","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","cart management","",""
"","6","should return translation for current language","UIManager","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","translation helper","",""
"","3","should have appropriate English translations","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","translation quality","",""
"","8","should sort products by price (high to low)","AppState","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","product filtering","",""
"","7","should have username key in both languages","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","required keys existence","",""
"","6","should have logout_success key in both languages","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","required keys existence","",""
"","4","should have memo_empty key in both languages","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","required keys existence","",""
"","4","should have translation for product: コーヒーメーカー","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","product names translation","",""
"","17","should remove item when quantity becomes 0","AppState","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","cart management","",""
"","3","should save all data to storage","AppState","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","language management","",""
"","3","should have translation for product: スニーカー","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","product names translation","",""
"","2","should have translation for product: ワイヤレスイヤホン","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","product names translation","",""
"","5","should have books key in both languages","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","required keys existence","",""
"","4","should have add key in both languages","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","required keys existence","",""
"","11","should remove product from cart","AppState","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","cart management","",""
"","8","should return translation for Japanese","UIManager","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","translation helper","",""
"","11","should have same product names in both languages","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","key consistency","",""
"","3","should have consistent message types","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","message consistency","",""
"","7","should display success message","UIManager","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","message display","",""
"","6","should return 0 for empty cart total","AppState","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","cart management","",""
"","5","should have cart_empty key in both languages","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","required keys existence","",""
"","7","should delete todo item","AppState","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","todo management","",""
"","6","should have checkout key in both languages","i18n translation data","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","required keys existence","",""
"","7","should add todo item","AppState","Mon Dec 15 02:40:34 UTC 2025","passed","Mon Dec 15 02:40:34 UTC 2025","","todo management","",""
