"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Empty cart can be verified","WSTG-BUSL-02: Checkout Bypass Testing","Wed Dec 17 02:35:13 UTC 2025","passed","Wed Dec 17 02:35:13 UTC 2025","","Empty Cart Checkout","",""
"","","VULNERABILITY: Orders can be created with empty shipping info","WSTG-BUSL-02: Checkout Bypass Testing","Wed Dec 17 02:35:13 UTC 2025","skipped","","","Shipping Validation Bypass","",""
"","4","should have search_placeholder key in both languages","i18n translation data","Wed Dec 17 02:35:13 UTC 2025","passed","Wed Dec 17 02:35:13 UTC 2025","","required keys existence","",""
"","9","should switch language and update UI","UIManager","Wed Dec 17 02:35:12 UTC 2025","passed","Wed Dec 17 02:35:12 UTC 2025","","language switching","",""
"","9","Server-side validation pattern","WSTG-BUSL-01: Cart Manipulation Testing","Wed Dec 17 02:35:13 UTC 2025","passed","Wed Dec 17 02:35:13 UTC 2025","","Remediation Recommendations","",""
"","6","should calculate cart total correctly","AppState","Wed Dec 17 02:35:12 UTC 2025","passed","Wed Dec 17 02:35:12 UTC 2025","","cart management","",""
"","5","FIXED: escapeHTML handles single quotes","WSTG-INPV-01: Stored XSS Testing","Wed Dec 17 02:35:12 UTC 2025","passed","Wed Dec 17 02:35:12 UTC 2025","","XSS Mitigation - escapeHTML Function","",""
"","","VULNERABILITY: Non-existent product ID can be added","WSTG-BUSL-01: Cart Manipulation Testing","Wed Dec 17 02:35:13 UTC 2025","skipped","","","Product ID Manipulation","",""
"","3","should have translation for product: 掃除機","i18n translation data","Wed Dec 17 02:35:13 UTC 2025","passed","Wed Dec 17 02:35:13 UTC 2025","","product names translation","",""
"","3","should have complete key in both languages","i18n translation data","Wed Dec 17 02:35:13 UTC 2025","passed","Wed Dec 17 02:35:13 UTC 2025","","required keys existence","",""
"","3","should have all required sorting options","i18n translation data","Wed Dec 17 02:35:13 UTC 2025","passed","Wed Dec 17 02:35:13 UTC 2025","","category and sorting options","",""
"","13","Checkout button could be clickjacked","WSTG-CLNT-02: Clickjacking Testing","Wed Dec 17 02:35:13 UTC 2025","passed","Wed Dec 17 02:35:13 UTC 2025","","Sensitive Actions Vulnerable to Clickjacking","",""
"As a logged-in user
  I want to complete the checkout process
  So that I can place an order and view my order history","7371","Successful checkout with valid information","","Wed Dec 17 02:36:36 UTC 2025","passed","Wed Dec 17 02:36:43 UTC 2025","","","",""
"","","VULNERABILITY: Session identifier does not change after login","WSTG-SESS-01: Session Management Testing","Wed Dec 17 02:35:12 UTC 2025","skipped","","","Session Fixation","",""
"","10","should reject login with incorrect username","AppState","Wed Dec 17 02:35:12 UTC 2025","passed","Wed Dec 17 02:35:12 UTC 2025","","authentication","",""
"","4","should have checkout_success key in both languages","i18n translation data","Wed Dec 17 02:35:13 UTC 2025","passed","Wed Dec 17 02:35:13 UTC 2025","","required keys existence","",""
"","15","should load data from localStorage","AppState","Wed Dec 17 02:35:12 UTC 2025","passed","Wed Dec 17 02:35:12 UTC 2025","","constructor and initialization","",""
"","6","should delete todo item","AppState","Wed Dec 17 02:35:12 UTC 2025","passed","Wed Dec 17 02:35:12 UTC 2025","","todo management","",""
"","5","should add order to orders array","AppState","Wed Dec 17 02:35:12 UTC 2025","passed","Wed Dec 17 02:35:12 UTC 2025","","order management","",""
"","4","should have memo_empty key in both languages","i18n translation data","Wed Dec 17 02:35:13 UTC 2025","passed","Wed Dec 17 02:35:13 UTC 2025","","required keys existence","",""
"","8","Event handler payload should not execute: <video><source onerror=""alert(1)"">","WSTG-INPV-02: DOM-based XSS Testing","Wed Dec 17 02:35:13 UTC 2025","passed","Wed Dec 17 02:35:13 UTC 2025","","Event Handler Injection","",""
"","6","should trim todo text","AppState","Wed Dec 17 02:35:12 UTC 2025","passed","Wed Dec 17 02:35:12 UTC 2025","","todo management","",""
"","","VULNERABILITY: Any JavaScript can modify localStorage","WSTG-CLNT-01: localStorage Security Testing","Wed Dec 17 02:35:13 UTC 2025","skipped","","","Data Tampering Risks","",""
"","22","FIXED: index.html has clickjacking protection","WSTG-CLNT-02: Clickjacking Testing","Wed Dec 17 02:35:13 UTC 2025","passed","Wed Dec 17 02:35:13 UTC 2025","","Frame Protection Headers","",""
"","6","should remove item when quantity becomes 0","AppState","Wed Dec 17 02:35:12 UTC 2025","passed","Wed Dec 17 02:35:12 UTC 2025","","cart management","",""
"","5","should return original name when language is Japanese","UIManager","Wed Dec 17 02:35:12 UTC 2025","passed","Wed Dec 17 02:35:12 UTC 2025","","product name translation","",""
"","4","should have same keys in both languages (excluding product_names)","i18n translation data","Wed Dec 17 02:35:13 UTC 2025","passed","Wed Dec 17 02:35:13 UTC 2025","","key consistency","",""
"","4","should have translation for product: キッチン用品セット","i18n translation data","Wed Dec 17 02:35:13 UTC 2025","passed","Wed Dec 17 02:35:13 UTC 2025","","product names translation","",""
"","78","should initialize with default values","AppState","Wed Dec 17 02:35:12 UTC 2025","passed","Wed Dec 17 02:35:12 UTC 2025","","constructor and initialization","",""
"","15","should sort products by price (high to low)","AppState","Wed Dec 17 02:35:12 UTC 2025","passed","Wed Dec 17 02:35:12 UTC 2025","","product filtering","",""
"","3","should have checkout key in both languages","i18n translation data","Wed Dec 17 02:35:13 UTC 2025","passed","Wed Dec 17 02:35:13 UTC 2025","","required keys existence","",""
"","","VULNERABLE: Order stores shipping info without sanitization","WSTG-INPV-01: Stored XSS Testing","Wed Dec 17 02:35:12 UTC 2025","skipped","","","Shipping Information - XSS Vectors","",""
"","14","should have English translations for all Japanese product names","i18n translation data","Wed Dec 17 02:35:13 UTC 2025","passed","Wed Dec 17 02:35:13 UTC 2025","","product names translation","",""
"","6","should translate category names in Japanese","UIManager","Wed Dec 17 02:35:12 UTC 2025","passed","Wed Dec 17 02:35:12 UTC 2025","","category name translation","",""
"","4","Empty credentials are rejected","WSTG-ATHN-01: Authentication Credentials Testing","Wed Dec 17 02:35:13 UTC 2025","passed","Wed Dec 17 02:35:13 UTC 2025","","Credential Validation","",""
