"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","should increase quantity when adding existing product","AppState","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","cart management","",""
"","7","should have demo_info key in both languages","i18n translation data","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","required keys existence","",""
"As a logged-in user
  I want to manage items in my shopping cart
  So that I can prepare for checkout","3619","Update item quantity in cart","","Sun Dec 14 16:55:12 UTC 2025","passed","Sun Dec 14 16:55:16 UTC 2025","","","",""
"","63","should initialize with default values","AppState","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","constructor and initialization","",""
"","4","should have add key in both languages","i18n translation data","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","required keys existence","",""
"","12","should have home key in both languages","i18n translation data","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","required keys existence","",""
"","12","should have checkout key in both languages","i18n translation data","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","required keys existence","",""
"","4","should have translation for product: JavaScript完全ガイド","i18n translation data","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","product names translation","",""
"","3","should have translation for product: スニーカー","i18n translation data","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","product names translation","",""
"As a logged-in user
  I want to complete the checkout process
  So that I can place an order and view my order history","7300","Successful checkout with valid information","","Sun Dec 14 16:55:16 UTC 2025","passed","Sun Dec 14 16:55:23 UTC 2025","","","",""
"","9","should have English translations for all Japanese product names","i18n translation data","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:11 UTC 2025","","product names translation","",""
"As a user browsing the product catalog
  I want to search, filter, and sort products
  So that I can find items quickly and efficiently","2664","Filter products by category","","Sun Dec 14 16:55:52 UTC 2025","passed","Sun Dec 14 16:55:54 UTC 2025","","","",""
"","7","should combine search and category filters","AppState","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:11 UTC 2025","","product filtering","",""
"","3","should have translation for product: スマートフォン","i18n translation data","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","product names translation","",""
"","3","should trim todo text","AppState","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","todo management","",""
"","10","should update document language attribute","UIManager","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","language switching","",""
"","4","should have translation for product: コーヒーメーカー","i18n translation data","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","product names translation","",""
"","11","should update active language button","UIManager","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","language switching","",""
"","2","should have translation for product: キッチン用品セット","i18n translation data","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","product names translation","",""
"As a logged-in user
  I want to manage my todo items
  So that I can keep track of my shopping tasks and notes","3430","Add a new todo item","","Sun Dec 14 16:55:57 UTC 2025","passed","Sun Dec 14 16:56:00 UTC 2025","","","",""
"","4","should have translation for product: Web開発の教科書","i18n translation data","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","product names translation","",""
"","7","should have memo_empty key in both languages","i18n translation data","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","required keys existence","",""
"","14","should have username key in both languages","i18n translation data","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","required keys existence","",""
"","4","should have cart_empty key in both languages","i18n translation data","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","required keys existence","",""
"","6","should translate category names in Japanese","UIManager","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","category name translation","",""
"As a user browsing the product catalog
  I want to search, filter, and sort products
  So that I can find items quickly and efficiently","3145","Search for a product by English name","","Sun Dec 14 16:55:48 UTC 2025","passed","Sun Dec 14 16:55:52 UTC 2025","","","",""
"","7","should have product_catalog key in both languages","i18n translation data","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","required keys existence","",""
"","2","should have appropriate English translations","i18n translation data","Sun Dec 14 16:54:11 UTC 2025","passed","Sun Dec 14 16:54:11 UTC 2025","","translation quality","",""
"","18","should filter products by search term","AppState","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","product filtering","",""
"","8","should add product to cart","AppState","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","cart management","",""
"","6","should have books key in both languages","i18n translation data","Sun Dec 14 16:54:10 UTC 2025","passed","Sun Dec 14 16:54:10 UTC 2025","","required keys existence","",""
