"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","should have favorite_memo key in both languages","i18n translation data","Wed Dec 17 14:15:10 UTC 2025","passed","Wed Dec 17 14:15:10 UTC 2025","","required keys existence","",""
"","7","Document: Why SRI is important","WSTG-CONF-01: CDN Integrity Testing","Wed Dec 17 14:15:10 UTC 2025","passed","Wed Dec 17 14:15:10 UTC 2025","","SRI Best Practices","",""
"","11","should toggle todo completion","AppState","Wed Dec 17 14:15:09 UTC 2025","passed","Wed Dec 17 14:15:09 UTC 2025","","todo management","",""
"","5","should set language and save to storage","AppState","Wed Dec 17 14:15:09 UTC 2025","passed","Wed Dec 17 14:15:09 UTC 2025","","language management","",""
"","4","should have demo_info key in both languages","i18n translation data","Wed Dec 17 14:15:10 UTC 2025","passed","Wed Dec 17 14:15:10 UTC 2025","","required keys existence","",""
"","10","Event handler payload should not execute: <video><source onerror=""alert(1)"">","WSTG-INPV-02: DOM-based XSS Testing","Wed Dec 17 14:15:10 UTC 2025","passed","Wed Dec 17 14:15:10 UTC 2025","","Event Handler Injection","",""
"","22","FIXED: user-profile.html has clickjacking protection","WSTG-CLNT-02: Clickjacking Testing","Wed Dec 17 14:15:10 UTC 2025","passed","Wed Dec 17 14:15:10 UTC 2025","","Frame Protection Headers","",""
"","","VULNERABILITY: Fake orders can be injected","WSTG-BUSL-02: Checkout Bypass Testing","Wed Dec 17 14:15:10 UTC 2025","skipped","","","Order History Manipulation","",""
"","64","should not have empty translation values","i18n translation data","Wed Dec 17 14:15:10 UTC 2025","passed","Wed Dec 17 14:15:10 UTC 2025","","key consistency","",""
"","5","should have electronics key in both languages","i18n translation data","Wed Dec 17 14:15:10 UTC 2025","passed","Wed Dec 17 14:15:10 UTC 2025","","required keys existence","",""
"","15","FIXED: escapeHTML properly escapes img onerror","WSTG-INPV-01: Stored XSS Testing","Wed Dec 17 14:15:09 UTC 2025","passed","Wed Dec 17 14:15:09 UTC 2025","","XSS Mitigation - escapeHTML Function","",""
"","6","should have memo_added key in both languages","i18n translation data","Wed Dec 17 14:15:10 UTC 2025","passed","Wed Dec 17 14:15:10 UTC 2025","","required keys existence","",""
