"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a logged-in user
  I want to manage items in my shopping cart
  So that I can prepare for checkout","3309","Add a product to the cart","","Mon Dec 15 15:33:22 UTC 2025","passed","Mon Dec 15 15:33:26 UTC 2025","","","",""
"","4","should have shopping_cart key in both languages","i18n translation data","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","required keys existence","",""
"","4","Large data can be stored (potential DoS vector)","WSTG-CLNT-01: localStorage Security Testing","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","Storage Quota and DoS","",""
"","10","VULNERABILITY: Order total can be set to any value","WSTG-BUSL-02: Checkout Bypass Testing","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","Order Total Manipulation","",""
"","6","Empty string input is handled","WSTG-CONF-02: Error Handling Testing","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","Invalid Input Handling","",""
"","4","should have product_catalog key in both languages","i18n translation data","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","required keys existence","",""
"","5","Document: Recommended unhandledrejection handler","WSTG-CONF-02: Error Handling Testing","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","Global Error Handling","",""
"","5","should save order to localStorage","AppState","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","order management","",""
"As a logged-in user
  I want to manage items in my shopping cart
  So that I can prepare for checkout","3414","Remove item from cart","","Mon Dec 15 15:33:26 UTC 2025","passed","Mon Dec 15 15:33:29 UTC 2025","","","",""
"","4","should have checkout key in both languages","i18n translation data","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","required keys existence","",""
"","4","should have translation for product: スマートフォン","i18n translation data","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","product names translation","",""
"","9","FIXED: escapeHTML properly escapes script tags","WSTG-INPV-01: Stored XSS Testing","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","XSS Mitigation - escapeHTML Function","",""
"","6","Error messages do not reveal system information","WSTG-CONF-02: Error Handling Testing","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","Information Disclosure","",""
"","46","VULNERABLE: Todo input accepts and stores XSS payload: <script>alert(1)</script>","WSTG-INPV-01: Stored XSS Testing","Mon Dec 15 15:32:18 UTC 2025","passed","Mon Dec 15 15:32:18 UTC 2025","","Todo/Memo Input - XSS Vectors","",""
"","5","should have product_added key in both languages","i18n translation data","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","required keys existence","",""
"","29","should have both ja and en languages","i18n translation data","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","structure validation","",""
"","4","should have checkout_success key in both languages","i18n translation data","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","required keys existence","",""
"","52","should initialize with default values","AppState","Mon Dec 15 15:32:18 UTC 2025","passed","Mon Dec 15 15:32:18 UTC 2025","","constructor and initialization","",""
"As a logged-in user
  I want to manage my todo items
  So that I can keep track of my shopping tasks and notes","3422","Add a new todo item","","Mon Dec 15 15:34:14 UTC 2025","passed","Mon Dec 15 15:34:17 UTC 2025","","","",""
"","13","should toggle todo completion","AppState","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","todo management","",""
"","8","GOOD: Logout clears currentUser","WSTG-SESS-01: Session Management Testing","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","Logout Functionality","",""
"","5","should have add key in both languages","i18n translation data","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","required keys existence","",""
"","12","should remove item when quantity becomes 0","AppState","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","cart management","",""
"","6","Document: Recommended window.onerror handler","WSTG-CONF-02: Error Handling Testing","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","Global Error Handling","",""
"","5","should have electronics key in both languages","i18n translation data","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","required keys existence","",""
"","4","should have translation for product: スニーカー","i18n translation data","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","product names translation","",""
"","7","Safe alternative: createElement + textContent pattern","WSTG-INPV-02: DOM-based XSS Testing","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","innerHTML Sink Analysis","",""
"","6","Event handler payload should not execute: <img src=x onmouseover=""alert(1)"">","WSTG-INPV-02: DOM-based XSS Testing","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","Event Handler Injection","",""
"","4","should have username key in both languages","i18n translation data","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","required keys existence","",""
"","10","VULNERABILITY: Order history with PII can be stored","WSTG-CLNT-01: localStorage Security Testing","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","Sensitive Data Exposure","",""
"","4","should have memo_deleted key in both languages","i18n translation data","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","required keys existence","",""
"","7","Example: Session with expiration","WSTG-SESS-01: Session Management Testing","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","Remediation Recommendations","",""
"","9","Attribute encoding prevents attribute injection","WSTG-INPV-02: DOM-based XSS Testing","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","Remediation Patterns","",""
"","6","Document: Recommended error handling pattern","WSTG-CONF-02: Error Handling Testing","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","Exception Handling Patterns","",""
"","4","should have cart_empty key in both languages","i18n translation data","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","required keys existence","",""
"","4","should have translation for product: Web開発の教科書","i18n translation data","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","product names translation","",""
"","9","should return translation for current language","UIManager","Mon Dec 15 15:32:19 UTC 2025","passed","Mon Dec 15 15:32:19 UTC 2025","","translation helper","",""
