"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a multilingual user
  I want to switch between English and Japanese
  So that I can use the application in my preferred language","2724","Switch language to English","","Mon Dec 15 16:23:02 UTC 2025","passed","Mon Dec 15 16:23:05 UTC 2025","","","",""
"","","VULNERABILITY: Negative quantity can be set","WSTG-BUSL-01: Cart Manipulation Testing","Mon Dec 15 16:21:36 UTC 2025","skipped","","","Quantity Manipulation","",""
"","3","should have same product names in both languages","i18n translation data","Mon Dec 15 16:21:35 UTC 2025","passed","Mon Dec 15 16:21:35 UTC 2025","","key consistency","",""
"","10","should have translation for product: コーヒーメーカー","i18n translation data","Mon Dec 15 16:21:36 UTC 2025","passed","Mon Dec 15 16:21:36 UTC 2025","","product names translation","",""
"","8","should return 0 for empty cart total","AppState","Mon Dec 15 16:21:35 UTC 2025","passed","Mon Dec 15 16:21:35 UTC 2025","","cart management","",""
"","","VULNERABILITY: Fake orders can be injected","WSTG-BUSL-02: Checkout Bypass Testing","Mon Dec 15 16:21:35 UTC 2025","skipped","","","Order History Manipulation","",""
"","12","Login button could be clickjacked","WSTG-CLNT-02: Clickjacking Testing","Mon Dec 15 16:21:35 UTC 2025","passed","Mon Dec 15 16:21:35 UTC 2025","","Sensitive Actions Vulnerable to Clickjacking","",""
"","4","should have login key in both languages","i18n translation data","Mon Dec 15 16:21:35 UTC 2025","passed","Mon Dec 15 16:21:35 UTC 2025","","required keys existence","",""
"","11","should have appropriate English translations","i18n translation data","Mon Dec 15 16:21:36 UTC 2025","passed","Mon Dec 15 16:21:36 UTC 2025","","translation quality","",""
"","22","should load data from localStorage","AppState","Mon Dec 15 16:21:35 UTC 2025","passed","Mon Dec 15 16:21:35 UTC 2025","","constructor and initialization","",""
"","7","should sort products by name","AppState","Mon Dec 15 16:21:35 UTC 2025","passed","Mon Dec 15 16:21:35 UTC 2025","","product filtering","",""
"As a logged-in user
  I want to manage my todo items
  So that I can keep track of my shopping tasks and notes","4078","Delete a todo item","","Mon Dec 15 16:23:33 UTC 2025","passed","Mon Dec 15 16:23:38 UTC 2025","","","",""
"","5","FIXED: escapeHTML neutralizes XSS payload: <svg onload=alert(1)>","WSTG-INPV-01: Stored XSS Testing","Mon Dec 15 16:21:35 UTC 2025","passed","Mon Dec 15 16:21:35 UTC 2025","","XSS Mitigation - escapeHTML Function","",""
"","8","Example: Generate SRI hash format","WSTG-CONF-01: CDN Integrity Testing","Mon Dec 15 16:21:36 UTC 2025","passed","Mon Dec 15 16:21:36 UTC 2025","","SRI Best Practices","",""
