"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","should have memo_deleted key in both languages","i18n translation data","Sun Dec 14 17:07:25 UTC 2025","passed","Sun Dec 14 17:07:25 UTC 2025","","required keys existence","",""
"","13","should remove existing message before showing new one","UIManager","Sun Dec 14 17:07:25 UTC 2025","passed","Sun Dec 14 17:07:25 UTC 2025","","message display","",""
"","68","should initialize with AppState","UIManager","Sun Dec 14 17:07:25 UTC 2025","passed","Sun Dec 14 17:07:25 UTC 2025","","constructor","",""
"As a logged-in user
  I want to manage items in my shopping cart
  So that I can prepare for checkout","3542","Add a product to the cart","","Sun Dec 14 17:08:28 UTC 2025","passed","Sun Dec 14 17:08:32 UTC 2025","","","",""
"As a user browsing the product catalog
  I want to search, filter, and sort products
  So that I can find items quickly and efficiently","2713","Filter products by category","","Sun Dec 14 17:09:16 UTC 2025","passed","Sun Dec 14 17:09:18 UTC 2025","","","",""
"","5","should have sort_price_high key in both languages","i18n translation data","Sun Dec 14 17:07:25 UTC 2025","passed","Sun Dec 14 17:07:25 UTC 2025","","required keys existence","",""
"","75","should initialize with default values","AppState","Sun Dec 14 17:07:25 UTC 2025","passed","Sun Dec 14 17:07:25 UTC 2025","","constructor and initialization","",""
"","6","should return translation for current language","UIManager","Sun Dec 14 17:07:25 UTC 2025","passed","Sun Dec 14 17:07:25 UTC 2025","","translation helper","",""
"","3","should have appropriate English translations","i18n translation data","Sun Dec 14 17:07:25 UTC 2025","passed","Sun Dec 14 17:07:25 UTC 2025","","translation quality","",""
"As a logged-in user
  I want to manage items in my shopping cart
  So that I can prepare for checkout","3866","Update item quantity in cart","","Sun Dec 14 17:08:35 UTC 2025","passed","Sun Dec 14 17:08:39 UTC 2025","","","",""
"","5","should have sort_price_low key in both languages","i18n translation data","Sun Dec 14 17:07:25 UTC 2025","passed","Sun Dec 14 17:07:25 UTC 2025","","required keys existence","",""
"","10","should have translation for product: JavaScript完全ガイド","i18n translation data","Sun Dec 14 17:07:25 UTC 2025","passed","Sun Dec 14 17:07:25 UTC 2025","","product names translation","",""
"","4","should have search_placeholder key in both languages","i18n translation data","Sun Dec 14 17:07:25 UTC 2025","passed","Sun Dec 14 17:07:25 UTC 2025","","required keys existence","",""
"","16","should have English translations for all Japanese product names","i18n translation data","Sun Dec 14 17:07:25 UTC 2025","passed","Sun Dec 14 17:07:25 UTC 2025","","product names translation","",""
